"Country","Date","Statistic","Value"
"Guinea",2014-08-29,"Cases",648
"Guinea",2014-08-29,"Deaths",430
"Nigeria",2014-08-29,"Cases",19
"Nigeria",2014-08-29,"Deaths",7
"Sierra Leone",2014-08-29,"Cases",1026
"Sierra Leone",2014-08-29,"Deaths",422
"Liberia",2014-08-29,"Cases",1378
"Liberia",2014-08-29,"Deaths",694
"Sierra Leone",2014-09-05,"Cases",1261
"Sierra Leone",2014-09-05,"Deaths",491
"Nigeria",2014-09-05,"Cases",22
"Nigeria",2014-09-05,"Deaths",8
"Liberia",2014-09-05,"Cases",1871
"Liberia",2014-09-05,"Deaths",1089
"Guinea",2014-09-05,"Cases",812
"Guinea",2014-09-05,"Deaths",517
"Senegal",2014-09-05,"Cases",1
"Senegal",2014-09-05,"Deaths",0
"Senegal",2014-09-08,"Cases",3
"Senegal",2014-09-08,"Deaths",0
"Guinea",2014-09-08,"Cases",862
"Guinea",2014-09-08,"Deaths",555
"Sierra Leone",2014-09-08,"Cases",1361
"Sierra Leone",2014-09-08,"Deaths",509
"Liberia",2014-09-08,"Cases",2046
"Liberia",2014-09-08,"Deaths",1224
"Nigeria",2014-09-08,"Cases",21
"Nigeria",2014-09-08,"Deaths",8
"Guinea",2014-09-12,"Cases",861
"Guinea",2014-09-12,"Deaths",557
"Sierra Leone",2014-09-12,"Cases",1424
"Sierra Leone",2014-09-12,"Deaths",524
"Nigeria",2014-09-12,"Cases",21
"Nigeria",2014-09-12,"Deaths",8
"Liberia",2014-09-12,"Cases",2081
"Liberia",2014-09-12,"Deaths",1137
"Senegal",2014-09-12,"Cases",3
"Senegal",2014-09-12,"Deaths",0
"Senegal",2014-09-16,"Cases",1
"Senegal",2014-09-16,"Deaths",0
"Sierra Leone",2014-09-16,"Cases",1620
"Sierra Leone",2014-09-16,"Deaths",562
"Guinea",2014-09-16,"Cases",936
"Guinea",2014-09-16,"Deaths",595
"Nigeria",2014-09-16,"Cases",21
"Nigeria",2014-09-16,"Deaths",8
"Liberia",2014-09-16,"Cases",2407
"Liberia",2014-09-16,"Deaths",1296
"Nigeria",2014-09-18,"Cases",21
"Nigeria",2014-09-18,"Deaths",8
"Guinea",2014-09-18,"Cases",942
"Guinea",2014-09-18,"Deaths",601
"Sierra Leone",2014-09-18,"Cases",1673
"Sierra Leone",2014-09-18,"Deaths",562
"Liberia",2014-09-18,"Cases",2710
"Liberia",2014-09-18,"Deaths",1459
"Senegal",2014-09-18,"Cases",1
"Senegal",2014-09-18,"Deaths",0
"Nigeria",2014-09-22,"Cases",20
"Nigeria",2014-09-22,"Deaths",8
"Sierra Leone",2014-09-22,"Cases",1813
"Sierra Leone",2014-09-22,"Deaths",593
"Liberia",2014-09-22,"Cases",3022
"Liberia",2014-09-22,"Deaths",1578
"Senegal",2014-09-22,"Cases",1
"Senegal",2014-09-22,"Deaths",0
"Guinea",2014-09-22,"Cases",1008
"Guinea",2014-09-22,"Deaths",632
"Liberia",2014-09-24,"Cases",3280
"Liberia",2014-09-24,"Deaths",1677
"Guinea",2014-09-24,"Cases",1022
"Guinea",2014-09-24,"Deaths",635
"Nigeria",2014-09-24,"Cases",20
"Nigeria",2014-09-24,"Deaths",8
"Senegal",2014-09-24,"Cases",1
"Senegal",2014-09-24,"Deaths",0
"Sierra Leone",2014-09-24,"Cases",1940
"Sierra Leone",2014-09-24,"Deaths",597
"Sierra Leone",2014-09-26,"Cases",2021
"Sierra Leone",2014-09-26,"Deaths",605
"Liberia",2014-09-26,"Cases",3458
"Liberia",2014-09-26,"Deaths",1830
"Senegal",2014-09-26,"Cases",1
"Senegal",2014-09-26,"Deaths",0
"Guinea",2014-09-26,"Cases",1074
"Guinea",2014-09-26,"Deaths",648
"Nigeria",2014-09-26,"Cases",20
"Nigeria",2014-09-26,"Deaths",8
"Guinea",2014-10-01,"Cases",1157
"Guinea",2014-10-01,"Deaths",710
"Senegal",2014-10-01,"Cases",1
"Senegal",2014-10-01,"Deaths",0
"Nigeria",2014-10-01,"Cases",20
"Nigeria",2014-10-01,"Deaths",8
"Sierra Leone",2014-10-01,"Cases",2304
"Sierra Leone",2014-10-01,"Deaths",622
"Liberia",2014-10-01,"Cases",3696
"Liberia",2014-10-01,"Deaths",1998
"United States of America",2014-10-03,"Cases",1
"United States of America",2014-10-03,"Deaths",0
"Nigeria",2014-10-03,"Cases",20
"Nigeria",2014-10-03,"Deaths",8
"Guinea",2014-10-03,"Cases",1199
"Guinea",2014-10-03,"Deaths",739
"Liberia",2014-10-03,"Cases",3834
"Liberia",2014-10-03,"Deaths",2069
"Sierra Leone",2014-10-03,"Cases",2437
"Sierra Leone",2014-10-03,"Deaths",623
"Senegal",2014-10-03,"Cases",1
"Senegal",2014-10-03,"Deaths",0
"Nigeria",2014-10-08,"Cases",20
"Nigeria",2014-10-08,"Deaths",8
"United States of America",2014-10-08,"Cases",1
"United States of America",2014-10-08,"Deaths",0
"Senegal",2014-10-08,"Cases",1
"Senegal",2014-10-08,"Deaths",0
"Guinea",2014-10-08,"Cases",1298
"Guinea",2014-10-08,"Deaths",768
"Sierra Leone",2014-10-08,"Cases",2789
"Sierra Leone",2014-10-08,"Deaths",879
"Liberia",2014-10-08,"Cases",3924
"Liberia",2014-10-08,"Deaths",2210
"United States of America",2014-10-10,"Cases",1
"United States of America",2014-10-10,"Deaths",0
"Senegal",2014-10-10,"Cases",1
"Senegal",2014-10-10,"Deaths",0
"Liberia",2014-10-10,"Cases",4076
"Liberia",2014-10-10,"Deaths",2316
"Nigeria",2014-10-10,"Cases",20
"Nigeria",2014-10-10,"Deaths",8
"Spain",2014-10-10,"Cases",1
"Spain",2014-10-10,"Deaths",0
"Guinea",2014-10-10,"Cases",1350
"Guinea",2014-10-10,"Deaths",778
"Sierra Leone",2014-10-10,"Cases",2950
"Sierra Leone",2014-10-10,"Deaths",930
"United States of America",2014-10-15,"Cases",2
