"Country","Date","Cases","Deaths"
"Guinea",2014-08-29,648,430
"Nigeria",2014-08-29,19,7
"Sierra Leone",2014-08-29,1026,422
"Liberia",2014-08-29,1378,694
"Sierra Leone",2014-09-05,1261,491
"Nigeria",2014-09-05,22,8
"Liberia",2014-09-05,1871,1089
"Guinea",2014-09-05,812,517
"Senegal",2014-09-05,1,0
"Senegal",2014-09-08,3,0
"Guinea",2014-09-08,862,555
"Sierra Leone",2014-09-08,1361,509
"Liberia",2014-09-08,2046,1224
"Nigeria",2014-09-08,21,8
"Guinea",2014-09-12,861,557
"Sierra Leone",2014-09-12,1424,524
"Nigeria",2014-09-12,21,8
"Liberia",2014-09-12,2081,1137
"Senegal",2014-09-12,3,0
"Senegal",2014-09-16,1,0
"Sierra Leone",2014-09-16,1620,562
"Guinea",2014-09-16,936,595
"Nigeria",2014-09-16,21,8
"Liberia",2014-09-16,2407,1296
"Nigeria",2014-09-18,21,8
"Guinea",2014-09-18,942,601
"Sierra Leone",2014-09-18,1673,562
"Liberia",2014-09-18,2710,1459
"Senegal",2014-09-18,1,0
"Nigeria",2014-09-22,20,8
"Sierra Leone",2014-09-22,1813,593
"Liberia",2014-09-22,3022,1578
"Senegal",2014-09-22,1,0
"Guinea",2014-09-22,1008,632
"Liberia",2014-09-24,3280,1677
"Guinea",2014-09-24,1022,635
"Nigeria",2014-09-24,20,8
"Senegal",2014-09-24,1,0
"Sierra Leone",2014-09-24,1940,597
"Sierra Leone",2014-09-26,2021,605
"Liberia",2014-09-26,3458,1830
"Senegal",2014-09-26,1,0
"Guinea",2014-09-26,1074,648
"Nigeria",2014-09-26,20,8
"Guinea",2014-10-01,1157,710
"Senegal",2014-10-01,1,0
"Nigeria",2014-10-01,20,8
"Sierra Leone",2014-10-01,2304,622
"Liberia",2014-10-01,3696,1998
"United States of America",2014-10-03,1,0
"Nigeria",2014-10-03,20,8
"Guinea",2014-10-03,1199,739
"Liberia",2014-10-03,3834,2069
"Sierra Leone",2014-10-03,2437,623
"Senegal",2014-10-03,1,0
"Nigeria",2014-10-08,20,8
"United States of America",2014-10-08,1,0
"Senegal",2014-10-08,1,0
"Guinea",2014-10-08,1298,768
"Sierra Leone",2014-10-08,2789,879
"Liberia",2014-10-08,3924,2210
"United States of America",2014-10-10,1,0
"Senegal",2014-10-10,1,0
"Liberia",2014-10-10,4076,2316
"Nigeria",2014-10-10,20,8
"Spain",2014-10-10,1,0
"Guinea",2014-10-10,1350,778
"Sierra Leone",2014-10-10,2950,930
"United States of America",2014-10-15,2,1
"Senegal",2014-10-15,1,0
"Nigeria",2014-10-15,20,8
"Liberia",2014-10-15,4249,2458
"Spain",2014-10-15,1,0
"Guinea",2014-10-15,1472,843
"Sierra Leone",2014-10-15,3252,1183
"Guinea",2014-10-17,1519,862
"Nigeria",2014-10-17,20,8
"Spain",2014-10-17,1,0
"Senegal",2014-10-17,1,0
"United States of America",2014-10-17,3,1
"Liberia",2014-10-17,4262,2484
"Sierra Leone",2014-10-17,3410,1200
"Nigeria",2014-10-22,20,8
"Spain",2014-10-22,1,0
"United States of America",2014-10-22,3,1
"Sierra Leone",2014-10-22,3706,1259
